男子 女子
男 女
父亲 母亲
男性 女性
儿子 女儿
丈夫 妻子
男士 女士
男人 女人
少男 少女
爸爸 妈妈
男孩 女孩
王子 公主
少爷 小姐
老爷 夫人
国王 皇后
弟弟 妹妹
男友 女友
哥哥 姐姐
帅哥 美女
男演员 女演员
男神 女神
男生 女生
长子 长女
哥 姐
老公 老婆
兄弟 姐妹
祖父 祖母
爷爷 奶奶
公公 婆婆
父 母
男星 女星
孙子 孙女
新郎 新娘
先生 太太
娶 嫁
男排 女排
次子 次女
小男孩 小女孩
叔叔 阿姨
男童 女童
其父 其母
小伙子 小姑娘
大哥 大姐
女婿 儿媳
生父 生母
和尚 尼姑
夫 妻
男孩子 女孩子
爸 妈
爹 娘
之父 之母
之夫 之妻
之子 之女
大叔 大婶
男朋友 女朋友
弟 妹
前夫 前妻
父亲节 母亲节
男艺人 女艺人
兄长 姊姊
男仆 女仆
男方 女方
老爸 老妈
前男友 前女友
养子 养女
侄子 侄女
太上皇 皇太后
岳父 岳母
大爷 大妈
其夫 其妻
情夫 情妇
父子 母女
外公 外婆
舅舅 姨妈
男双 女双
男团 女团
之弟 之妹
男篮 女篮
男婴 女婴
未婚夫 未婚妻
养父 养母
继父 继母
姐夫 嫂子
兄 姊
曾祖父 曾祖母
师爷 师奶
男明星 女明星
阿哥 格格
表哥 表姐
表弟 表妹
鳏夫 寡妇
男声 女声
小儿子 小女儿
男高音 女高音
一哥 一姐
老爷爷 老奶奶
独子 独女
男中 女中
